facility_name,facility_id,facility_type,street1,street2,city,state,postal_code,country,latitude,longitude,phone,contact,url,begin_date,end_date,begin_time,end_time,eligibility,documents,cost,currency_code,notes,file_start_date,file_end_date
Walgreens #3853,17,Pharmacy,2924 CHAMBERLAYNE AVE,,Richmond,Virginia,23222,US,37.571718,-77.445838,(804) 321-7068,,http://www.walgreens.com/locator/walgreens-2924-chamberlayne-ave-richmond-va-23222/id=3853,3/29/15,3/29/15,9:00 AM,5:00 PM,,,,,,,
Walgreens #10106,18,Pharmacy,3520 Ellwood Avenue,,Richmond,Virginia,23221,US,37.557353,-77.487748,(804) 342-8864,,http://www.walgreens.com/locator/walgreens-3520+ellwood+ave-richmond-va-23221/id=10106,11/3/14,3/31/15,8:00 AM,10:00 PM,,,,,,,
Walgreens #3681,19,Pharmacy,1214 Westover Hills Blvd,,Richmond,Virginia,23225,US,37.520579,-77.489208,(804) 230-6335,,http://www.walgreens.com/locator/Walgreens-1214-Westover-Hills-Blvd-Richmond-VA-23225/id=3681?ext=iyp_yp_TL,3/29/15,3/29/15,9:00 AM,6:00 PM,,,,,,,
Walgreens #4488,20,Pharmacy,3715 MECHANICSVILLE TPKE,,Richmond,Virginia,23223,US,37.576731,-77.395366,(804) 329-1555,,http://www.walgreens.com/locator/walgreens-3715+mechanicsville+tpke-richmond-va-23223/id=4488,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
Walgreens #3860,21,Pharmacy,4720 NINE MILE RD,,Richmond,Virginia,23223,US,37.544159,-77.370868,(804) 222-7914,,http://www.walgreens.com/locator/walgreens-4720-nine-mile-rd-richmond-va-23223/id=3860,3/29/15,3/29/15,9:00 AM,5:00 PM,,,,,,,
Walgreens #3852,22,Pharmacy,1157 AZALEA AVE,,Richmond,Virginia,23227,US,37.600844,-77.45377,(804) 261-4734,,http://www.walgreens.com/locator/Walgreens-1157-AZALEA-AVE-RICHMOND-VA-23227/id=3852,3/29/15,3/29/15,9:00 AM,5:00 PM,,,,,,,
Walgreens #3682,23,Pharmacy,5122 HULL STREET RD,,Richmond,Virginia,23224,US,37.493545,-77.487921,(804) 232-4399,,http://www.walgreens.com/locator/walgreens-5122+hull+street+rd-richmond-va-23224/id=3682,11/3/14,3/31/15,8:00 AM,10:00 PM,,,,,,,
Walgreens #9779,24,Pharmacy,4845 S LABURNUM AVE,,Richmond,Virginia,23231,US,37.518436,-77.350026,(804) 226-4581,,http://www.walgreens.com/locator/walgreens-4845-s-laburnum-ave-richmond-va-23231/id=9779,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
Walgreens #3685,25,Pharmacy,5802 W BROAD ST,,Richmond,Virginia,23230,US,37.591011,-77.503927,(804) 288-3191,,http://www.walgreens.com/locator/Walgreens-5802-W-Broad-St-Richmond-VA-23230/id=3685,11/3/14,3/31/15,8:00 AM,10:00 PM,,,,,,,
Walgreens #15119,26,Pharmacy,7101 JAHNKE RD,Suite #100,Richmond,Virginia,23225,US,37.514446,-77.526163,(804) 560-1092,,http://www.walgreens.com/locator/walgreens-7101+jahnke+rd+suite+%23100-richmond-va-23225/id=15119,3/30/15,3/31/15,8:00 AM,6:00 PM,,,,,,,
Walgreens #4250,27,Pharmacy,20 Buford Rd,,Richmond,Virginia,23235,US,37.498227,-77.545966,(804) 320-9752,,http://www.walgreens.com/locator/walgreens-20+buford+rd-richmond-va-23235/id=4250,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
Walgreens #13830,28,Pharmacy,7039 MECHANICSVILLE TPKE,,Mechanicsville,Virginia,23111,US,37.611627,-77.338661,(804) 746-1965,,http://www.walgreens.com/locator/walgreens-7039+mechanicsville+tpke-mechanicsville-va-23111/id=13830,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
Walgreens #3684,29,Pharmacy,4201 MEADOWDALE BLVD,,Richmond,Virginia,23234,US,37.437725,-77.473766,(804) 271-8100,,http://www.walgreens.com/locator/walgreens-4201+meadowdale+blvd-richmond-va-23234/id=3684,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
